SSB,REC,SP,SBPR
47.946,47.061,1,1.306
47.924,63.629,1,1.306
48.011,16.512,1,1.306
47.48,83.21,1,1.306
46.404,24.183,1,1.306
45.502,68.479,1,1.306
44.499,13.5,1,1.306
43.872,23.025,1,1.306
43.959,12.513,1,1.306
44.093,46.046,1,1.306
42.546,17.147,1,1.306
39.778,10.15,1,1.306
36.915,4.908,1,1.306
34.201,6.499,1,1.306
30.893,139.679,1,1.306
27.866,17.938,1,1.306
23.955,39.313,1,1.306
21.837,33.862,1,1.306
22.722,40.992,1,1.306
24.454,35.049,1,1.306
25.707,20.582,1,1.306
26.562,33.545,1,1.306
26.934,13.655,1,1.306
27.52,48.482,1,1.306
27.849,12.114,1,1.306
27.852,19.37,1,1.306
27.344,10.76,1,1.306
27.033,22.693,1,1.306
10.45,10.165,2,1.289
10.464,25.59,2,1.289
10.357,0.791,2,1.289
10.217,0.2,2,1.289
9.924,10.401,2,1.289
9.369,10.339,2,1.289
8.8,0.2,2,1.289
7.95,0.2,2,1.289
7.054,44.121,2,1.289
6.342,0.2,2,1.289
5.689,6.376,2,1.289
5.053,3.324,2,1.289
4.855,0.677,2,1.289
4.844,0.2,2,1.289
4.417,0.724,2,1.289
3.503,12.502,2,1.289
2.731,0.301,2,1.289
2.208,1.253,2,1.289
1.763,1.703,2,1.289
1.525,7.173,2,1.289
1.371,0.779,2,1.289
1.067,1.707,2,1.289
0.809,1.73,2,1.289
0.767,0.2,2,1.289
0.701,0.626,2,1.289
0.6,0.253,2,1.289
0.505,0.2,2,1.289
0.433,0.2,2,1.289
0.362,0.2,2,1.289
0.299,0.2,2,1.289
435.363,148.486,3,7.753
435.351,57.806,3,7.753
435.339,16.064,3,7.753
435.327,16.3,3,7.753
435.821,26.951,3,7.753
439.349,32.877,3,7.753
449.259,17.258,3,7.753
474.143,68.415,3,7.753
478.232,79.664,3,7.753
474.489,43.165,3,7.753
450.519,92.744,3,7.753
366.842,89.195,3,7.753
269.666,36.808,3,7.753
187.556,27.905,3,7.753
164.322,37.448,3,7.753
157.515,39.895,3,7.753
153.148,26.952,3,7.753
161.446,42.173,3,7.753
163.598,34.764,3,7.753
163.826,29.612,3,7.753
149.342,29.84,3,7.753
135.19,39.281,3,7.753
130.023,20.463,3,7.753
123.551,33.533,3,7.753
115.947,29.057,3,7.753
111.738,29.958,3,7.753
106.551,20.423,3,7.753
17.56,1.53,4,7.789
17.14,4.352,4,7.789
16.877,2.008,4,7.789
16.578,3.833,4,7.789
16.559,1.334,4,7.789
16.549,2.127,4,7.789
16.374,2.827,4,7.789
14.845,2.251,4,7.789
14.659,2.108,4,7.789
14.24,3.392,4,7.789
14.052,1.626,4,7.789
13.562,2.872,4,7.789
12.786,3.609,4,7.789
11.565,1.179,4,7.789
10.351,2.212,4,7.789
9.519,2.041,4,7.789
7.755,2.494,4,7.789
6.335,1.479,4,7.789
6.095,2.058,4,7.789
5.85,1.562,4,7.789
5.832,1.059,4,7.789
5.407,1.675,4,7.789
4.98,1.046,4,7.789
4.314,1.793,4,7.789
3.791,1.508,4,7.789
2.976,1.16,4,7.789
2.298,1.074,4,7.789
1.803,0.746,4,7.789
2.228,0.87,5,1.209
1.74,0.895,5,1.209
1.438,1.392,5,1.209
1.077,1.591,5,1.209
0.917,1.766,5,1.209
0.72,0.711,5,1.209
0.635,1.529,5,1.209
36.201,11.318,6,2.403
35.802,14.795,6,2.403
34.961,13.839,6,2.403
34.001,9.737,6,2.403
33.734,6.521,6,2.403
33.4,9.287,6,2.403
32.488,13.481,6,2.403
30.97,25.065,6,2.403
30.046,18.783,6,2.403
29.276,17.221,6,2.403
28.018,19.709,6,2.403
26.724,14.286,6,2.403
24.038,7.129,6,2.403
21.084,11.418,6,2.403
18.699,15.49,6,2.403
16.989,7.02,6,2.403
16.338,14.598,6,2.403
16.385,16.478,6,2.403
17.874,12.13,6,2.403
19.578,10.594,6,2.403
19.964,13.157,6,2.403
19.699,8.419,6,2.403
18.418,14.968,6,2.403
17.316,13.625,6,2.403
16.855,5.439,6,2.403
16.747,12.794,6,2.403
15.801,11.905,6,2.403
35.425,29.267,7,6.155
34.078,18.181,7,6.155
32.66,11.642,7,6.155
31.69,8.47,7,6.155
30.632,9.346,7,6.155
29.571,13.964,7,6.155
28.415,10.372,7,6.155
28.898,5.737,7,6.155
31.989,3.772,7,6.155
36.489,2.805,7,6.155
39.081,2.448,7,6.155
32.736,2.153,7,6.155
19.966,2.281,7,6.155
13.203,2.723,7,6.155
12.381,6.036,7,6.155
11.507,2.464,7,6.155
10.816,1.376,7,6.155
10.013,1.09,7,6.155
9.175,1.361,7,6.155
9.056,1.565,7,6.155
8.596,1.476,7,6.155
7.777,1.244,7,6.155
7.58,1.18,7,6.155
7.121,1.605,7,6.155
6.941,1.646,7,6.155
6.689,2.671,7,6.155
6.354,0.978,7,6.155
6.045,1.293,7,6.155
5.312,1.384,7,6.155
4.724,2.021,7,6.155
4.276,0.568,7,6.155
3.854,1.322,7,6.155
3.526,1.642,7,6.155
3.211,0.693,7,6.155
2.866,1.726,7,6.155
2.779,0.914,7,6.155
2.534,0.491,7,6.155
2.353,0.57,7,6.155
2.111,0.537,7,6.155
2.008,0.506,7,6.155
89.299,8.847,8,18.144
88.304,7.429,8,18.144
87.227,7.42,8,18.144
81.505,6.499,8,18.144
64.703,3.816,8,18.144
58.819,5.2,8,18.144
53.981,7.454,8,18.144
49.768,5.427,8,18.144
46.53,2.369,8,18.144
45.948,1.153,8,18.144
42.882,0.83,8,18.144
40.553,0.908,8,18.144
35.959,2.589,8,18.144
34.885,18.227,8,18.144
33.163,11.265,8,18.144
32.136,4.902,8,18.144
31.474,4.299,8,18.144
30.289,11.742,8,18.144
28.764,8.83,8,18.144
28.242,8.003,8,18.144
34.914,4.144,8,18.144
35.423,8.131,8,18.144
36.339,5.944,8,18.144
37.369,4,8,18.144
41.337,4.645,8,18.144
41.849,5.088,8,18.144
23.511,17.917,9,5.478
19.79,8.251,9,5.478
19.6,7.328,9,5.478
19.025,64.403,9,5.478
17.087,12.323,9,5.478
14.492,31.242,9,5.478
14.058,50.482,9,5.478
14.564,66.458,9,5.478
15.221,32.768,9,5.478
16.562,145.799,9,5.478
18.813,94.371,9,5.478
20.138,60.544,9,5.478
20.494,27.417,9,5.478
20.509,73.139,9,5.478
21.175,53.283,9,5.478
24.206,58.37,9,5.478
246.31,302.019,10,5.729
252.326,55.704,10,5.729
237.361,26.898,10,5.729
193.458,21.474,10,5.729
148.029,20.503,10,5.729
114.152,54.343,10,5.729
94.599,34.452,10,5.729
90.627,19.515,10,5.729
83.655,21.242,10,5.729
63.781,16.979,10,5.729
53.66,20.291,10,5.729
42.769,13.904,10,5.729
39.189,13.831,10,5.729
33.312,22.763,10,5.729
28.324,55.274,10,5.729
24.392,46.814,10,5.729
22.707,66.27,10,5.729
22.079,14.481,10,5.729
21.448,42.251,10,5.729
21.201,112.647,10,5.729
22.502,22.459,10,5.729
27.066,95.105,10,5.729
34.033,63.88,10,5.729
41.939,43.106,10,5.729
49.164,70.277,10,5.729
55.881,38.377,10,5.729
65.675,63.895,10,5.729
75.857,28.641,10,5.729
128.601,17.729,11,5.482
121.825,35.56,11,5.482
103.954,43.09,11,5.482
94.738,18.379,11,5.482
83.463,14.549,11,5.482
72.739,39.944,11,5.482
64.724,24.851,11,5.482
55.835,9.045,11,5.482
46.026,10.723,11,5.482
36.252,19.967,11,5.482
32.268,11.078,11,5.482
29.241,4.626,11,5.482
27.513,3.262,11,5.482
27.952,3.111,11,5.482
26.762,4.241,11,5.482
21.942,13.047,11,5.482
17.986,27.294,11,5.482
13.913,50.95,11,5.482
13.411,18.268,11,5.482
12.782,15.888,11,5.482
12.295,14.677,11,5.482
12.154,5.493,11,5.482
12.736,5.805,11,5.482
15.075,4.437,11,5.482
19.056,7.456,11,5.482
22.85,5.222,11,5.482
25.76,5.1,11,5.482
28.049,5.225,11,5.482
29.535,5.698,11,5.482
30.101,13.043,11,5.482
29.036,12.88,11,5.482
26.488,12.458,11,5.482
24.789,12.148,11,5.482
23.63,11.92,11,5.482
22.513,11.688,11,5.482
22.274,11.636,11,5.482
22.346,11.652,11,5.482
